AP50_fire,AP50_smoke,epoch,fpr_at_op,loss_box_reg,loss_classifier,loss_objectness,loss_rpn_box_reg,loss_scene,lr,mAP50,mAP50_95,op_threshold,recall_any_at_op,recall_fire_at_op,recall_smoke_at_op,scene_ap_fire,scene_ap_smoke,scene_fpr_fire,scene_fpr_smoke,seconds,skipped_batches,train_total
0.6301,0.81371,29,0.00373,0.05847,0.03857,0.00421,0.00166,0.21227,0.0001,0.7219,0.36878,0.9,0.85068,0.71959,0.80852,0.90991,0.90756,0.02933,0.08881,653.7,0,0.31517
0.63599,0.80872,30,0.00621,0.05818,0.03802,0.0043,0.00162,0.21257,0.0001,0.72236,0.36505,0.85,0.8921,0.84572,0.85414,0.93806,0.91357,0.04576,0.0905,651.1,0,0.3147
0.63647,0.80906,31,0.00807,0.05758,0.03771,0.00413,0.0016,0.21505,0.0001,0.72276,0.3647,0.85,0.90191,0.85248,0.86855,0.89977,0.89496,0.02425,0.0742,671.1,0,0.31608
0.6362,0.81848,32,0.00807,0.05807,0.03805,0.0042,0.0016,0.21103,0.0001,0.72734,0.3672,0.85,0.91662,0.84234,0.88776,0.89527,0.90756,0.02307,0.08263,717.7,0,0.31294
0.63674,0.81383,33,0.00807,0.05735,0.0374,0.00414,0.00161,0.21022,0.0001,0.72529,0.37028,0.9,0.87302,0.78604,0.83073,0.9009,0.90036,0.02307,0.07813,700.5,0,0.31073
0.6377,0.81855,34,0.00932,0.05698,0.03724,0.00418,0.0016,0.21302,0.0001,0.72813,0.37078,0.85,0.91553,0.84685,0.88776,0.9009,0.92077,0.02503,0.09837,696.7,0,0.31301
0.64273,0.81412,35,0.0087,0.05671,0.037,0.00415,0.00157,0.214,0.0001,0.72842,0.37245,0.85,0.91063,0.86599,0.87755,0.90766,0.90456,0.02816,0.07982,691.2,0,0.31344
0.64024,0.8176,36,0.00932,0.0567,0.03689,0.00416,0.00156,0.21121,0.0001,0.72892,0.37211,0.85,0.91281,0.86036,0.88295,0.90878,0.90876,0.02738,0.08432,690.4,0,0.31051
0.63988,0.81774,37,0.00994,0.05621,0.03647,0.00424,0.00156,0.21254,0.0001,0.72881,0.37187,0.85,0.91771,0.86149,0.88776,0.90653,0.91837,0.0262,0.09444,718.7,0,0.31102
0.64119,0.82121,38,0.00373,0.05672,0.03692,0.00415,0.0016,0.21021,0.0001,0.7312,0.37236,0.9,0.86921,0.75788,0.82833,0.9009,0.91537,0.02464,0.09162,710.2,0,0.3096
0.63846,0.82048,39,0.00932,0.05718,0.03678,0.00416,0.00164,0.2109,0.0001,0.72947,0.37362,0.85,0.91826,0.86036,0.88956,0.9009,0.91116,0.0262,0.08825,691.9,0,0.31067
0.63775,0.82159,40,0.00932,0.05672,0.03701,0.00409,0.00158,0.21125,0.0001,0.72967,0.37383,0.85,0.91499,0.86149,0.88295,0.9009,0.91176,0.02386,0.08825,702.9,0,0.31065
