AP50_fire,AP50_smoke,epoch,fpr_at_op,loss_bbox_ctrness,loss_bbox_regression,loss_classification,loss_scene,lr,mAP50,mAP50_95,op_threshold,recall_any_at_op,recall_fire_at_op,recall_smoke_at_op,scene_ap_fire,scene_ap_smoke,scene_fpr_fire,scene_fpr_smoke,seconds,skipped_batches,train_total
0.49065,0.70952,29,0.00621,0.63218,0.30763,0.2858,0.24049,2.91258e-05,0.60008,0.27666,0.55,0.75586,0.51014,0.69028,0.9482,0.93097,0.03168,0.1484,466.3,0,1.46609
0.49068,0.71067,30,0.00435,0.63232,0.30545,0.28455,0.23883,2.60439e-05,0.60068,0.27664,0.55,0.72534,0.6036,0.62245,0.89527,0.89976,0.02073,0.10399,466.7,0,1.46115
0.49524,0.70304,31,0.00932,0.63285,0.30475,0.27974,0.23654,2.30827e-05,0.59914,0.28013,0.55,0.76403,0.65653,0.65906,0.91104,0.89256,0.02112,0.09106,475.6,0,1.45389
0.4927,0.71932,32,0.00497,0.63196,0.30243,0.28106,0.23551,2.02568e-05,0.60601,0.28146,0.55,0.71444,0.61486,0.61585,0.9223,0.89436,0.02307,0.10287,474.7,0,1.45096
0.50113,0.71785,33,0.00621,0.63273,0.30491,0.28029,0.23704,1.75802e-05,0.60949,0.28498,0.55,0.7455,0.70833,0.63745,0.95158,0.91777,0.03246,0.12704,471.3,0,1.45497
0.49895,0.71974,34,0.00621,0.63329,0.30412,0.27794,0.23991,1.5066e-05,0.60935,0.28605,0.55,0.72752,0.6464,0.63625,0.93806,0.88115,0.02581,0.08544,474.3,0,1.45526
0.50115,0.71941,35,0.00373,0.63273,0.30154,0.27635,0.23639,1.27268e-05,0.61028,0.28868,0.55,0.69755,0.53829,0.61104,0.93468,0.88535,0.02581,0.08375,466.9,0,1.44701
0.5075,0.72506,36,0.00621,0.63194,0.29943,0.27669,0.23821,1.05739e-05,0.61628,0.29029,0.55,0.72589,0.59009,0.62785,0.91554,0.90276,0.02073,0.10343,477.4,0,1.44627
0.51138,0.72431,37,0.00497,0.63315,0.30043,0.27434,0.23755,8.6181e-06,0.61784,0.28979,0.55,0.74877,0.64752,0.65066,0.93131,0.89316,0.02542,0.08713,482.5,0,1.44546
0.50507,0.72461,38,0.00621,0.63246,0.29879,0.27538,0.23658,6.869e-06,0.61484,0.28962,0.55,0.73733,0.68581,0.61164,0.93356,0.89076,0.0262,0.08432,482.3,0,1.44321
0.5156,0.7269,39,0.00497,0.6328,0.29953,0.27271,0.22864,5.3353e-06,0.62125,0.29351,0.55,0.73188,0.62162,0.63145,0.9268,0.89376,0.02229,0.08881,477.0,0,1.43368
0.51245,0.72669,40,0.00435,0.63132,0.29895,0.2718,0.23581,4.0244e-06,0.61957,0.29204,0.55,0.73188,0.625,0.63445,0.92793,0.88175,0.02268,0.07813,477.4,0,1.43789
0.51417,0.72699,41,0.00559,0.63178,0.29668,0.27237,0.23473,2.9429e-06,0.62058,0.29407,0.55,0.72589,0.61261,0.62725,0.9268,0.90276,0.02346,0.10343,482.0,0,1.43556
0.5125,0.72733,42,0.00435,0.63212,0.29654,0.27143,0.23542,2.0962e-06,0.61991,0.29375,0.55,0.72752,0.64977,0.62245,0.93243,0.89736,0.02464,0.09331,473.7,0,1.4355
0.51709,0.72641,43,0.00559,0.63178,0.29707,0.27306,0.2342,1.4883e-06,0.62175,0.29371,0.55,0.74169,0.67342,0.64466,0.93243,0.89856,0.02464,0.09387,494.2,0,1.43612
0.51626,0.72767,44,0.00559,0.63241,0.29855,0.27168,0.23097,1.1223e-06,0.62196,0.29406,0.55,0.74223,0.64752,0.64286,0.93468,0.89796,0.02503,0.09387,483.3,0,1.43361
0.5168,0.72571,45,0.00559,0.63212,0.29988,0.27389,0.2369,1e-06,0.62125,0.29381,0.55,0.73243,0.64189,0.63385,0.93468,0.89796,0.02503,0.09275,474.4,0,1.44279
