AP50_fire,AP50_smoke,epoch,fpr_at_op,loss_box_reg,loss_classifier,loss_objectness,loss_rpn_box_reg,loss_scene,lr,mAP50,mAP50_95,op_threshold,recall_any_at_op,recall_fire_at_op,recall_smoke_at_op,scene_ap_fire,scene_ap_smoke,scene_fpr_fire,scene_fpr_smoke,seconds,skipped_batches,train_total
0.63311,0.814,1,0.00745,0.05877,0.03851,0.00425,0.00168,0.20902,4.97167e-05,0.72356,0.36314,0.9,0.87575,0.70383,0.85474,0.89865,0.95438,0.01955,0.11242,791.2,0,0.31224
0.62583,0.80147,2,0.00994,0.05869,0.03884,0.00443,0.00169,0.20423,4.83695e-05,0.71365,0.35853,0.85,0.88665,0.79392,0.86014,0.90541,0.90576,0.01369,0.06689,794.1,0,0.30788
0.63699,0.80659,3,0.00745,0.05897,0.03915,0.00429,0.00169,0.19632,4.59716e-05,0.72179,0.35945,0.9,0.83924,0.68581,0.80372,0.93131,0.92617,0.02346,0.07083,794.2,0,0.30041
0.63888,0.80613,4,0.00745,0.05848,0.03886,0.00426,0.00168,0.19253,4.26322e-05,0.72251,0.36064,0.85,0.88011,0.84572,0.83733,0.94707,0.92977,0.0219,0.07026,790.7,0,0.2958
0.63688,0.81158,5,0.00745,0.05783,0.0383,0.00417,0.00165,0.18506,3.85029e-05,0.72423,0.36534,0.85,0.91226,0.86824,0.88475,0.93243,0.93337,0.01682,0.06689,796.7,0,0.28701
0.63276,0.81253,6,0.00994,0.05776,0.03786,0.00421,0.00169,0.18546,3.37714e-05,0.72265,0.363,0.85,0.91608,0.85248,0.88595,0.94482,0.92437,0.01916,0.05846,794.6,0,0.28697
0.6433,0.81804,7,0.00807,0.05648,0.03596,0.00394,0.00162,0.17211,2.86526e-05,0.73067,0.36983,0.9,0.89046,0.75563,0.86315,0.94144,0.94958,0.01799,0.0742,791.7,0,0.27011
0.64078,0.81047,8,0.00807,0.05504,0.03466,0.00389,0.00158,0.17154,2.33793e-05,0.72563,0.36908,0.9,0.88283,0.76351,0.85114,0.94932,0.95378,0.01916,0.07026,799.4,0,0.26671
0.64661,0.81944,9,0.00621,0.05505,0.03459,0.0038,0.00157,0.16783,1.81909e-05,0.73303,0.37139,0.9,0.88774,0.75563,0.85354,0.95158,0.95258,0.02034,0.07532,799.8,0,0.26284
0.64803,0.81945,10,0.00994,0.0547,0.03452,0.00369,0.00154,0.16897,1.33234e-05,0.73374,0.372,0.85,0.91172,0.87613,0.87875,0.9527,0.94658,0.02073,0.07195,798.2,0,0.26343
0.64943,0.82604,11,0.00621,0.0542,0.0341,0.00371,0.00152,0.16455,8.9977e-06,0.73773,0.37441,0.85,0.92534,0.86824,0.89736,0.95721,0.94718,0.02346,0.07251,798.8,0,0.25808
0.652,0.82573,12,0.00994,0.05421,0.0339,0.00368,0.00156,0.16843,5.4106e-06,0.73887,0.37555,0.85,0.93025,0.875,0.90336,0.95158,0.94418,0.02034,0.06296,800.6,0,0.26179
0.64976,0.82393,13,0.00621,0.05574,0.03502,0.00386,0.00154,0.16671,2.725e-06,0.73684,0.37562,0.9,0.88828,0.79054,0.85114,0.95158,0.94598,0.02034,0.06521,800.9,0,0.26288
0.6542,0.82494,14,0.00621,0.05591,0.03552,0.00391,0.0016,0.16435,1.063e-06,0.73957,0.37601,0.9,0.88774,0.8018,0.84994,0.9527,0.94538,0.0219,0.06521,797.4,0,0.26129
0.65564,0.82548,15,0.00621,0.0556,0.03501,0.00388,0.00156,0.16857,5e-07,0.74056,0.375,0.9,0.88883,0.78266,0.85294,0.95158,0.94538,0.02034,0.06521,797.0,0,0.26462
